Report Number,Date Reported,Date of Occurrence,City,Latitude,Longitude,Crime Description,Clean Category,Victim Age,Victim Gender,Weapon Used,Crime Domain,Severity,Case Closed,Date Case Closed,Crime_Hour,Crime_DayOfWeek,Crime_Month,Is_Weekend,Weapon_Risk,Lat_Round,Lon_Round,Area_Crime_Count,Area_Avg_Severity,Risk_Score,Hotspot_Level,Crime_Time_Period
19,2020-01-02 20:00,2020-01-01 18:00:00,Bangalore,12.9716,77.5946,CYBERCRIME,Other,11,M,,Other Crime,1,Yes,2020-01-24 20:00,18,Wednesday,1,0,2.0,12.972,77.595,3588.0,2.38015607580825,1436.3140468227425,,Evening
20,2020-01-03 18:00,2020-01-01 19:00:00,Bangalore,12.9716,77.5946,EXTORTION,Other,62,F,Blunt Object,Other Crime,1,Yes,2020-03-05 18:00,19,Wednesday,1,0,3.0,12.972,77.595,3588.0,2.38015607580825,1436.5140468227423,,Evening
21,2020-01-03 22:00,2020-01-01 20:00:00,Hyderabad,17.385,78.4867,TRAFFIC VIOLATION,Other,50,F,Poison,Traffic Fatality,1,Yes,2020-01-22 22:00,20,Wednesday,1,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Evening
22,2020-01-03 12:00,2020-01-01 21:00:00,Mumbai,19.076,72.8777,VANDALISM,Vandalism,64,F,Other,Other Crime,2,Yes,2020-03-03 12:00,21,Wednesday,1,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
23,2020-01-02 10:00,2020-01-01 22:00:00,Jaipur,26.9124,75.7873,SHOPLIFTING,Other,69,F,Blunt Object,Other Crime,1,No,,22,Wednesday,1,0,3.0,26.912,75.787,1479.0,2.310344827586207,592.893103448276,High,Night
24,2020-01-03 09:00,2020-01-01 23:00:00,Chennai,13.0827,80.2707,VANDALISM,Vandalism,77,F,Other,Other Crime,2,No,,23,Wednesday,1,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Night
25,2020-01-03 01:00,2020-02-01 00:00:00,Bangalore,12.9716,77.5946,DRUG OFFENSE,Other,18,F,Other,Other Crime,1,No,,0,Saturday,2,1,2.0,12.972,77.595,3588.0,2.38015607580825,1436.4140468227424,,Night
26,2020-01-02 16:00,2020-02-01 01:00:00,Jaipur,26.9124,75.7873,ASSAULT,Assault,60,M,Firearm,Violent Crime,5,Yes,2020-03-12 16:00,1,Saturday,2,1,5.0,26.912,75.787,1479.0,2.310344827586207,593.393103448276,High,Night
27,2020-01-02 06:00,2020-02-01 02:00:00,Pune,18.5204,73.8567,IDENTITY THEFT,Identity Theft,49,M,Blunt Object,Violent Crime,2,No,,2,Saturday,2,1,3.0,18.52,73.857,2212.0,2.3589511754068715,886.2076853526222,High,Night
28,2020-01-02 15:00,2020-02-01 03:00:00,Lucknow,26.8467,80.9462,PUBLIC INTOXICATION,Other,41,F,,Other Crime,1,No,,3,Saturday,2,1,2.0,26.847,80.946,1456.0,2.3777472527472527,583.6133241758241,High,Night
29,2020-01-04 14:00,2020-02-01 04:00:00,Bangalore,12.9716,77.5946,VANDALISM,Vandalism,33,F,Explosives,Other Crime,2,No,,4,Saturday,2,1,2.0,12.972,77.595,3588.0,2.38015607580825,1436.4140468227424,,Night
30,2020-01-04 23:00,2020-02-01 05:00:00,Bhopal,23.2599,77.4126,BURGLARY,Burglary,37,F,,Other Crime,3,No,,5,Saturday,2,1,2.0,23.26,77.413,690.0,2.408695652173913,277.2226086956522,High,Morning
31,2020-01-03 07:00,2020-02-01 06:00:00,Bhopal,23.2599,77.4126,HOMICIDE,Homicide,32,F,Explosives,Other Crime,5,No,,6,Saturday,2,1,2.0,23.26,77.413,690.0,2.408695652173913,277.2226086956522,High,Morning
32,2020-01-04 13:00,2020-02-01 07:00:00,Hyderabad,17.385,78.4867,VANDALISM,Vandalism,60,M,Knife,Other Crime,2,Yes,2020-03-18 13:00,7,Saturday,2,1,3.0,17.385,78.487,2881.0,2.393960430406109,1153.8181881291218,,Morning
33,2020-01-03 04:00,2020-02-01 08:00:00,Delhi,28.7041,77.1025,ILLEGAL POSSESSION,Other,73,F,Knife,Other Crime,1,No,,8,Saturday,2,1,3.0,28.704,77.102,5400.0,2.385925925925926,2161.4157777777777,,Morning
34,2020-01-05 07:00,2020-02-01 09:00:00,Patna,25.5941,85.1376,VEHICLE - STOLEN,Other,24,F,Explosives,Violent Crime,5,No,,9,Saturday,2,1,2.0,25.594,85.138,695.0,2.3884892086330933,279.2165467625899,High,Morning
35,2020-01-04 21:00,2020-02-01 10:00:00,Kanpur,26.4499,80.3319,VANDALISM,Vandalism,34,F,Other,Other Crime,2,No,,10,Saturday,2,1,2.0,26.45,80.332,1112.0,2.372302158273381,446.011690647482,High,Morning
36,2020-01-04 21:00,2020-02-01 11:00:00,Chennai,13.0827,80.2707,COUNTERFEITING,Other,32,F,Blunt Object,Other Crime,1,No,,11,Saturday,2,1,3.0,13.083,80.271,2493.0,2.4091456077015643,998.6227436823106,High,Morning
37,2020-01-03 05:00,2020-02-01 12:00:00,Lucknow,26.8467,80.9462,SEXUAL ASSAULT,Assault,33,F,Blunt Object,Violent Crime,5,Yes,2020-07-02 05:00,12,Saturday,2,1,3.0,26.847,80.946,1456.0,2.3777472527472527,583.8133241758242,High,Afternoon
38,2020-01-04 05:00,2020-02-01 13:00:00,Varanasi,25.3176,82.9739,SHOPLIFTING,Other,22,F,Explosives,Other Crime,1,No,,13,Saturday,2,1,2.0,25.318,82.974,355.0,2.309859154929577,143.19295774647887,High,Afternoon
39,2020-01-03 23:00,2020-02-01 14:00:00,Surat,21.1702,72.8311,VEHICLE - STOLEN,Other,32,F,,Violent Crime,5,Yes,2020-03-11 23:00,14,Saturday,2,1,2.0,21.17,72.831,1111.0,2.2997299729973,445.5899189918992,High,Afternoon
40,2020-01-03 02:00,2020-02-01 15:00:00,Mumbai,19.076,72.8777,FRAUD,Other,69,F,Explosives,Other Crime,1,Yes,2020-01-15 02:00,15,Saturday,2,1,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.218980747452,,Afternoon
41,2020-01-05 01:00,2020-02-01 16:00:00,Visakhapatnam,17.6868,83.2185,HOMICIDE,Homicide,28,F,Firearm,Other Crime,5,No,,16,Saturday,2,1,5.0,17.687,83.218,728.0,2.342032967032967,293.0026098901099,High,Afternoon
42,2020-01-03 11:00,2020-02-01 17:00:00,Surat,21.1702,72.8311,ILLEGAL POSSESSION,Other,42,M,Blunt Object,Other Crime,1,No,,17,Saturday,2,1,3.0,21.17,72.831,1111.0,2.2997299729973,445.7899189918992,High,Evening
43,2020-01-03 03:00,2020-02-01 18:00:00,Delhi,28.7041,77.1025,FIREARM OFFENSE,Other,40,M,Poison,Fire Accident,1,Yes,2020-03-17 03:00,18,Saturday,2,1,2.0,28.704,77.102,5400.0,2.385925925925926,2161.215777777778,,Evening
44,2020-01-04 07:00,2020-02-01 19:00:00,Mumbai,19.076,72.8777,SEXUAL ASSAULT,Assault,44,M,Other,Violent Crime,5,No,,19,Saturday,2,1,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.218980747452,,Evening
45,2020-01-05 19:00,2020-02-01 20:00:00,Kolkata,22.5726,88.3639,ARSON,Other,44,F,Blunt Object,Fire Accident,1,Yes,2020-01-12 19:00,20,Saturday,2,1,3.0,22.573,88.364,2518.0,2.3669579030976964,1008.6100873709294,,Evening
46,2020-01-04 19:00,2020-02-01 21:00:00,Patna,25.5941,85.1376,DRUG OFFENSE,Other,67,M,Knife,Other Crime,1,No,,21,Saturday,2,1,3.0,25.594,85.138,695.0,2.3884892086330933,279.41654676259,High,Night
47,2020-01-05 04:00,2020-02-01 22:00:00,Delhi,28.7041,77.1025,ROBBERY,Robbery,47,F,,Violent Crime,3,No,,22,Saturday,2,1,2.0,28.704,77.102,5400.0,2.385925925925926,2161.215777777778,,Night
48,2020-01-05 17:00,2020-02-01 23:00:00,Lucknow,26.8467,80.9462,FIREARM OFFENSE,Other,38,F,Blunt Object,Fire Accident,1,Yes,2020-03-14 17:00,23,Saturday,2,1,3.0,26.847,80.946,1456.0,2.3777472527472527,583.8133241758242,High,Night
49,2020-01-05 19:00,2020-03-01 00:00:00,Jaipur,26.9124,75.7873,ILLEGAL POSSESSION,Other,77,F,Firearm,Other Crime,1,No,,0,Sunday,3,1,5.0,26.912,75.787,1479.0,2.310344827586207,593.393103448276,High,Night
50,2020-01-03 13:00,2020-03-01 01:00:00,Hyderabad,17.385,78.4867,DRUG OFFENSE,Other,37,F,Blunt Object,Other Crime,1,No,,1,Sunday,3,1,3.0,17.385,78.487,2881.0,2.393960430406109,1153.8181881291218,,Night
51,2020-01-03 05:00,2020-03-01 02:00:00,Nagpur,21.1458,79.0882,BURGLARY,Burglary,54,F,Other,Other Crime,3,Yes,2020-04-13 05:00,2,Sunday,3,1,2.0,21.146,79.088,1053.0,2.375118708452042,422.4125356125356,High,Night
52,2020-01-05 12:00,2020-03-01 03:00:00,Kolkata,22.5726,88.3639,BURGLARY,Burglary,38,F,Blunt Object,Other Crime,3,Yes,2020-04-14 12:00,3,Sunday,3,1,3.0,22.573,88.364,2518.0,2.3669579030976964,1008.6100873709294,,Night
53,2020-01-05 00:00,2020-03-01 04:00:00,Ghaziabad,28.6692,77.4538,PUBLIC INTOXICATION,Other,29,M,Poison,Other Crime,1,Yes,2020-01-20 00:00,4,Sunday,3,1,2.0,28.669,77.454,704.0,2.375,282.8125,High,Night
54,2020-01-05 10:00,2020-03-01 05:00:00,Delhi,28.7041,77.1025,BURGLARY,Burglary,75,M,Explosives,Other Crime,3,No,,5,Sunday,3,1,2.0,28.704,77.102,5400.0,2.385925925925926,2161.215777777778,,Morning
55,2020-01-06 02:00,2020-03-01 06:00:00,Pune,18.5204,73.8567,FIREARM OFFENSE,Other,61,F,Poison,Fire Accident,1,No,,6,Sunday,3,1,2.0,18.52,73.857,2212.0,2.3589511754068715,886.0076853526222,High,Morning
56,2020-01-04 04:00,2020-03-01 07:00:00,Meerut,28.9845,77.7064,BURGLARY,Burglary,49,F,,Other Crime,3,No,,7,Sunday,3,1,2.0,28.984,77.706,395.0,2.551898734177215,159.26556962025316,High,Morning
57,2020-01-06 01:00,2020-03-01 08:00:00,Kanpur,26.4499,80.3319,SEXUAL ASSAULT,Assault,67,F,Firearm,Violent Crime,5,Yes,2020-07-20 01:00,8,Sunday,3,1,5.0,26.45,80.332,1112.0,2.372302158273381,446.611690647482,High,Morning
58,2020-01-03 18:00,2020-03-01 09:00:00,Ahmedabad,23.0225,72.5714,ASSAULT,Assault,70,F,,Violent Crime,5,No,,9,Sunday,3,1,2.0,23.022,72.571,1817.0,2.4446890478811225,728.0334067143644,High,Morning
59,2020-01-04 14:00,2020-03-01 10:00:00,Chennai,13.0827,80.2707,TRAFFIC VIOLATION,Other,75,F,Blunt Object,Traffic Fatality,1,No,,10,Sunday,3,1,3.0,13.083,80.271,2493.0,2.4091456077015643,998.6227436823106,High,Morning
60,2020-01-05 18:00,2020-03-01 11:00:00,Thane,,,SHOPLIFTING,Other,53,F,Other,Other Crime,1,Yes,2020-03-31 18:00,11,Sunday,3,1,2.0,,,,,,,Morning
61,2020-01-03 22:00,2020-03-01 12:00:00,Mumbai,19.076,72.8777,SHOPLIFTING,Other,16,M,Poison,Other Crime,1,No,,12,Sunday,3,1,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.218980747452,,Afternoon
62,2020-01-05 21:00,2020-03-01 13:00:00,Surat,21.1702,72.8311,DRUG OFFENSE,Other,30,M,Explosives,Other Crime,1,Yes,2020-02-09 21:00,13,Sunday,3,1,2.0,21.17,72.831,1111.0,2.2997299729973,445.5899189918992,High,Afternoon
63,2020-01-03 20:00,2020-03-01 14:00:00,Chennai,13.0827,80.2707,FRAUD,Other,56,M,Explosives,Other Crime,1,Yes,2020-03-15 20:00,14,Sunday,3,1,2.0,13.083,80.271,2493.0,2.4091456077015643,998.4227436823104,High,Afternoon
64,2020-01-06 06:00,2020-03-01 15:00:00,Thane,,,ILLEGAL POSSESSION,Other,19,F,Blunt Object,Other Crime,1,Yes,2020-03-20 06:00,15,Sunday,3,1,3.0,,,,,,,Afternoon
65,2020-01-05 18:00,2020-03-01 16:00:00,Visakhapatnam,17.6868,83.2185,DRUG OFFENSE,Other,58,F,Explosives,Other Crime,1,No,,16,Sunday,3,1,2.0,17.687,83.218,728.0,2.342032967032967,292.4026098901099,High,Afternoon
66,2020-01-06 14:00,2020-03-01 17:00:00,Lucknow,26.8467,80.9462,EXTORTION,Other,45,F,Other,Other Crime,1,Yes,2020-03-15 14:00,17,Sunday,3,1,2.0,26.847,80.946,1456.0,2.3777472527472527,583.6133241758241,High,Evening
67,2020-01-03 21:00,2020-03-01 18:00:00,Bhopal,23.2599,77.4126,CYBERCRIME,Other,25,M,,Other Crime,1,No,,18,Sunday,3,1,2.0,23.26,77.413,690.0,2.408695652173913,277.2226086956522,High,Evening
68,2020-01-04 20:00,2020-03-01 19:00:00,Visakhapatnam,17.6868,83.2185,BURGLARY,Burglary,22,M,Knife,Other Crime,3,Yes,2020-05-02 20:00,19,Sunday,3,1,3.0,17.687,83.218,728.0,2.342032967032967,292.60260989010993,High,Evening
69,2020-01-06 09:00,2020-03-01 20:00:00,Hyderabad,17.385,78.4867,PUBLIC INTOXICATION,Other,59,F,Explosives,Other Crime,1,Yes,2020-01-17 09:00,20,Sunday,3,1,2.0,17.385,78.487,2881.0,2.393960430406109,1153.618188129122,,Evening
70,2020-01-06 12:00,2020-03-01 21:00:00,Visakhapatnam,17.6868,83.2185,FIREARM OFFENSE,Other,31,F,Firearm,Fire Accident,1,No,,21,Sunday,3,1,5.0,17.687,83.218,728.0,2.342032967032967,293.0026098901099,High,Night
71,2020-01-06 20:00,2020-03-01 22:00:00,Kolkata,22.5726,88.3639,FIREARM OFFENSE,Other,58,F,Poison,Fire Accident,1,No,,22,Sunday,3,1,2.0,22.573,88.364,2518.0,2.3669579030976964,1008.4100873709292,,Night
72,2020-01-05 18:00,2020-03-01 23:00:00,Nagpur,21.1458,79.0882,ARSON,Other,53,F,Knife,Fire Accident,1,Yes,2020-03-23 18:00,23,Sunday,3,1,3.0,21.146,79.088,1053.0,2.375118708452042,422.6125356125357,High,Night
73,2020-01-05 21:00,2020-04-01 00:00:00,Lucknow,26.8467,80.9462,BURGLARY,Burglary,35,F,Blunt Object,Other Crime,3,No,,0,Wednesday,4,0,3.0,26.847,80.946,1456.0,2.3777472527472527,583.7133241758241,High,Night
74,2020-01-06 05:00,2020-04-01 01:00:00,Chennai,13.0827,80.2707,ARSON,Other,36,M,Firearm,Fire Accident,1,Yes,2020-01-20 05:00,1,Wednesday,4,0,5.0,13.083,80.271,2493.0,2.4091456077015643,998.9227436823104,High,Night
75,2020-01-05 02:00,2020-04-01 02:00:00,Ahmedabad,23.0225,72.5714,CYBERCRIME,Other,70,F,Knife,Other Crime,1,No,,2,Wednesday,4,0,3.0,23.022,72.571,1817.0,2.4446890478811225,728.1334067143645,High,Night
76,2020-01-06 00:00,2020-04-01 03:00:00,Delhi,28.7041,77.1025,VANDALISM,Vandalism,52,M,Explosives,Other Crime,2,Yes,2020-01-26 00:00,3,Wednesday,4,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Night
77,2020-01-04 22:00,2020-04-01 04:00:00,Mumbai,19.076,72.8777,KIDNAPPING,Kidnapping,25,F,Explosives,Other Crime,4,No,,4,Wednesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Night
78,2020-01-05 21:00,2020-04-01 05:00:00,Indore,,,IDENTITY THEFT,Identity Theft,58,F,Knife,Violent Crime,2,Yes,2020-03-29 21:00,5,Wednesday,4,0,3.0,,,,,,,Morning
79,2020-01-05 20:00,2020-04-01 06:00:00,Mumbai,19.076,72.8777,ROBBERY,Robbery,39,F,Poison,Violent Crime,3,No,,6,Wednesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Morning
80,2020-01-07 03:00,2020-04-01 07:00:00,Visakhapatnam,17.6868,83.2185,VEHICLE - STOLEN,Other,54,F,,Violent Crime,5,Yes,2020-01-15 03:00,7,Wednesday,4,0,2.0,17.687,83.218,728.0,2.342032967032967,292.30260989010986,High,Morning
81,2020-01-05 03:00,2020-04-01 08:00:00,Delhi,28.7041,77.1025,ASSAULT,Assault,61,F,Knife,Violent Crime,5,Yes,2020-03-04 03:00,8,Wednesday,4,0,3.0,28.704,77.102,5400.0,2.385925925925926,2161.315777777778,,Morning
82,2020-01-06 05:00,2020-04-01 09:00:00,Jaipur,26.9124,75.7873,FRAUD,Other,16,F,Explosives,Other Crime,1,No,,9,Wednesday,4,0,2.0,26.912,75.787,1479.0,2.310344827586207,592.6931034482759,High,Morning
83,2020-01-06 12:00,2020-04-01 10:00:00,Mumbai,19.076,72.8777,ROBBERY,Robbery,25,F,Firearm,Violent Crime,3,Yes,2020-03-21 12:00,10,Wednesday,4,0,5.0,19.076,72.878,4415.0,2.3966024915062287,1767.718980747452,,Morning
84,2020-01-04 19:00,2020-04-01 11:00:00,Kolkata,22.5726,88.3639,TRAFFIC VIOLATION,Other,72,F,Blunt Object,Traffic Fatality,1,Yes,2020-01-20 19:00,11,Wednesday,4,0,3.0,22.573,88.364,2518.0,2.3669579030976964,1008.5100873709292,,Morning
85,2020-01-05 18:00,2020-04-01 12:00:00,Lucknow,26.8467,80.9462,PUBLIC INTOXICATION,Other,48,M,Firearm,Other Crime,1,No,,12,Wednesday,4,0,5.0,26.847,80.946,1456.0,2.3777472527472527,584.1133241758241,High,Afternoon
86,2020-01-06 17:00,2020-04-01 13:00:00,Mumbai,19.076,72.8777,VANDALISM,Vandalism,22,M,Other,Other Crime,2,Yes,2020-03-11 17:00,13,Wednesday,4,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Afternoon
87,2020-01-07 06:00,2020-04-01 14:00:00,Lucknow,26.8467,80.9462,PUBLIC INTOXICATION,Other,30,F,Firearm,Other Crime,1,Yes,2020-01-18 06:00,14,Wednesday,4,0,5.0,26.847,80.946,1456.0,2.3777472527472527,584.1133241758241,High,Afternoon
88,2020-01-07 03:00,2020-04-01 15:00:00,Rajkot,,,ROBBERY,Robbery,11,F,Firearm,Violent Crime,3,No,,15,Wednesday,4,0,5.0,,,,,,,Afternoon
89,2020-01-06 22:00,2020-04-01 16:00:00,Mumbai,19.076,72.8777,HOMICIDE,Homicide,16,F,Knife,Other Crime,5,No,,16,Wednesday,4,0,3.0,19.076,72.878,4415.0,2.3966024915062287,1767.318980747452,,Afternoon
90,2020-01-06 18:00,2020-04-01 17:00:00,Hyderabad,17.385,78.4867,VEHICLE - STOLEN,Other,73,F,Blunt Object,Violent Crime,5,No,,17,Wednesday,4,0,3.0,17.385,78.487,2881.0,2.393960430406109,1153.718188129122,,Evening
91,2020-01-05 04:00,2020-04-01 18:00:00,Kolkata,22.5726,88.3639,BURGLARY,Burglary,72,F,Poison,Other Crime,3,No,,18,Wednesday,4,0,2.0,22.573,88.364,2518.0,2.3669579030976964,1008.3100873709292,,Evening
92,2020-01-04 20:00,2020-04-01 19:00:00,Jaipur,26.9124,75.7873,CYBERCRIME,Other,60,F,,Other Crime,1,No,,19,Wednesday,4,0,2.0,26.912,75.787,1479.0,2.310344827586207,592.6931034482759,High,Evening
93,2020-01-05 16:00,2020-04-01 20:00:00,Hyderabad,17.385,78.4867,FRAUD,Other,53,M,,Other Crime,1,Yes,2020-04-01 16:00,20,Wednesday,4,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Evening
94,2020-01-06 21:00,2020-04-01 21:00:00,Mumbai,19.076,72.8777,SEXUAL ASSAULT,Assault,42,F,Firearm,Violent Crime,5,No,,21,Wednesday,4,0,5.0,19.076,72.878,4415.0,2.3966024915062287,1767.718980747452,,Night
95,2020-01-06 08:00,2020-04-01 22:00:00,Vasai,,,PUBLIC INTOXICATION,Other,10,M,Firearm,Other Crime,1,No,,22,Wednesday,4,0,5.0,,,,,,,Night
96,2020-01-06 08:00,2020-04-01 23:00:00,Hyderabad,17.385,78.4867,DRUG OFFENSE,Other,51,F,Blunt Object,Other Crime,1,No,,23,Wednesday,4,0,3.0,17.385,78.487,2881.0,2.393960430406109,1153.718188129122,,Night
97,2020-01-06 02:00,2020-05-01 00:00:00,Nagpur,21.1458,79.0882,IDENTITY THEFT,Identity Theft,26,F,Explosives,Violent Crime,2,Yes,2020-02-12 02:00,0,Friday,5,0,2.0,21.146,79.088,1053.0,2.375118708452042,422.3125356125356,High,Night
98,2020-01-06 17:00,2020-05-01 01:00:00,Kolkata,22.5726,88.3639,SEXUAL ASSAULT,Assault,71,M,Blunt Object,Violent Crime,5,No,,1,Friday,5,0,3.0,22.573,88.364,2518.0,2.3669579030976964,1008.5100873709292,,Night
99,2020-01-06 23:00,2020-05-01 02:00:00,Hyderabad,17.385,78.4867,IDENTITY THEFT,Identity Theft,74,F,Explosives,Violent Crime,2,Yes,2020-01-23 23:00,2,Friday,5,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Night
100,2020-01-06 20:00,2020-05-01 03:00:00,Hyderabad,17.385,78.4867,DRUG OFFENSE,Other,13,F,Other,Other Crime,1,Yes,2020-01-22 20:00,3,Friday,5,0,2.0,17.385,78.487,2881.0,2.393960430406109,1153.518188129122,,Night
101,2020-01-06 23:00,2020-05-01 04:00:00,Ahmedabad,23.0225,72.5714,PUBLIC INTOXICATION,Other,50,F,Knife,Other Crime,1,Yes,2020-01-14 23:00,4,Friday,5,0,3.0,23.022,72.571,1817.0,2.4446890478811225,728.1334067143645,High,Night
102,2020-01-05 16:00,2020-05-01 05:00:00,Mumbai,19.076,72.8777,EXTORTION,Other,69,F,Explosives,Other Crime,1,No,,5,Friday,5,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Morning
103,2020-01-07 00:00,2020-05-01 06:00:00,Kanpur,26.4499,80.3319,ASSAULT,Assault,34,F,Other,Violent Crime,5,No,,6,Friday,5,0,2.0,26.45,80.332,1112.0,2.372302158273381,445.911690647482,High,Morning
104,2020-01-07 16:00,2020-05-01 07:00:00,Mumbai,19.076,72.8777,VEHICLE - STOLEN,Other,38,F,Poison,Violent Crime,5,Yes,2020-02-19 16:00,7,Friday,5,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Morning
105,2020-01-06 23:00,2020-05-01 08:00:00,Lucknow,26.8467,80.9462,FRAUD,Other,44,F,Blunt Object,Other Crime,1,No,,8,Friday,5,0,3.0,26.847,80.946,1456.0,2.3777472527472527,583.7133241758241,High,Morning
